name,salary_from,salary_to,salary_currency,area_name,published_at
Механик,80000,110000,RUR,Кемерово,2022-12-18T03:36:12+0300
Инженер технической поддержки (Новочеркасский б-р),59000,74000,RUR,Москва,2022-12-18T03:23:58+0300
Программист 1С,140000,,RUR,Владивосток,2022-12-18T03:17:30+0300
Разработчик 1С,154000,154000,RUR,Самара,2022-12-18T03:07:19+0300
Механик,80000,110000,RUR,Кедровка,2022-12-18T03:36:12+0300
Аналитик,,,,Саратов,2022-12-18T03:36:14+0300
Инженер технической поддержки (Гостилицкое шоссе),53000,67000,RUR,Санкт-Петербург,2022-12-18T03:23:05+0300
Инженер технической поддержки (улица Красноуральская),48000,60000,RUR,Екатеринбург,2022-12-18T03:19:02+0300
Инженер технической поддержки,44000,55000,RUR,Новосибирск,2022-12-18T03:18:17+0300
Flutter разработчик (iOS / Android),,,,Барнаул,2022-12-18T03:07:57+0300
Разработчик 1С,154000,154000,RUR,Новосибирск,2022-12-18T03:07:19+0300
Начальник отдела информационных технологий,30000,50000,RUR,Биробиджан,2022-12-18T03:52:17+0300
Ведущий инженер Группы контроля и анализа деятельности,23000,30000,RUR,Биробиджан,2022-12-18T03:52:01+0300
Инженер 1 категории отдела информационных технологий,22918,30000,RUR,Биробиджан,2022-12-18T03:51:55+0300
Ведущий инженер отдела информационных технологий,25000,35000,RUR,Биробиджан,2022-12-18T03:50:44+0300
Менеджер по обеспечению бизнеса,,,,Новосибирск,2022-12-18T03:20:42+0300
Менеджер по обеспечению бизнеса (улица Кирзаводская),,,,Новосибирск,2022-12-18T03:18:20+0300
Графический дизайнер/креативный дизайнер,80000,100000,RUR,Москва,2022-12-18T04:22:55+0300
Junior project manager в web-студию,35000,60000,RUR,Санкт-Петербург,2022-12-18T04:00:37+0300
Программист Python (Developer/разработчик) Backend,,,,Красноярск,2022-12-18T04:27:18+0300
Программист,20500,,RUR,Куйтун,2022-12-18T04:18:17+0300
Категоричный менеджер на проект ( с перспективой на постоянку),70000,100000,RUR,Владивосток,2022-12-18T04:35:58+0300
Главный механик,80000,100000,RUR,Новосибирск,2022-12-18T04:53:52+0300
Программист-разработчик,20000,150000,RUR,Новосибирск,2022-12-18T04:58:26+0300
Программист 1С,110000,,RUR,Владивосток,2022-12-18T04:31:31+0300
Руководитель проекта,65000,,RUR,Новосибирск,2022-12-18T04:39:32+0300
"Руководитель проекта ""Этномир""",120000,,RUR,Обнинск,2022-12-18T05:31:52+0300
Начальник отдела сопровождения информационных систем,90000,90000,RUR,Новосибирск,2022-12-18T05:16:12+0300
Редактор,20000,,RUR,Куйтун,2022-12-18T05:18:46+0300
Менеджер отдела технической поддержки,250000,350000,KZT,Алматы,2022-12-18T05:19:28+0300
Оператор листогибочного станка с ЧПУ,47000,,RUR,Хабаровск,2022-12-18T05:37:12+0300
Программист 1C,,,,Иркутск,2022-12-18T05:44:37+0300
Инженер систем АПС и СОУЭ (автоматической пожарной сигнализации и систем оповещения и управления эв,300000,,KZT,Астана,2022-12-18T05:11:24+0300
Инженер по информационной безопасности,,,,Санкт-Петербург,2022-12-18T05:05:27+0300
Руководитель отдела планирования и маркетинга,500000,,KZT,Караганда,2022-12-18T05:54:05+0300
Middle iOS Developer,120000,200000,RUR,Новосибирск,2022-12-18T05:22:57+0300
Middle Java/Kotlin-developer,,,,Новосибирск,2022-12-18T05:12:47+0300
"Оператор станков с ЧПУ 3,4 разряда (Токарная группа)",33000,42000,RUR,Омск,2022-12-18T05:46:51+0300
Аналоговый схемотехник (SerDes),,,,Санкт-Петербург,2022-12-18T05:51:29+0300
Lead 3D Artist,,,,Санкт-Петербург,2022-12-18T05:47:51+0300
Дизайнер-верстальщик,26100,,RUR,Барнаул,2022-12-18T06:09:41+0300
Дизайнер,50000,,RUR,Новосибирск,2022-12-18T06:32:23+0300
